,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 30, 2023",831.07,832.83,824.67,828.48,828.48,"156,913,400"
1,"May 26, 2023",826.17,833.27,825.80,830.39,830.39,"153,779,000"
2,"May 25, 2023",821.42,826.06,817.01,824.03,824.03,"193,548,900"
3,"May 24, 2023",829.92,829.93,820.46,821.53,821.53,"174,945,800"
4,"May 23, 2023",838.55,840.97,830.95,832.07,832.07,"180,217,300"
5,"May 22, 2023",843.31,847.44,835.76,842.45,842.45,"159,481,000"
6,"May 19, 2023",849.34,851.26,838.59,842.42,842.42,"158,555,800"
7,"May 18, 2023",837.15,845.85,834.91,844.69,844.69,"163,426,500"
8,"May 17, 2023",829.78,841.65,829.78,839.09,839.09,"203,975,200"
9,"May 16, 2023",832.67,832.81,825.06,825.06,825.06,"147,501,400"
10,"May 15, 2023",832.64,838.92,829.44,836.46,836.46,"129,449,900"
11,"May 12, 2023",835.76,837.64,826.11,832.24,832.24,"130,970,400"
12,"May 11, 2023",833.30,833.83,827.57,832.15,832.15,"137,855,900"
13,"May 10, 2023",845.43,846.20,828.11,837.56,837.56,"160,721,300"
14,"May 09, 2023",837.89,841.82,835.47,840.28,840.28,"154,648,500"
15,"May 08, 2023",845.12,846.11,835.91,838.82,838.82,"163,815,500"
16,"May 05, 2023",836.59,844.24,835.95,841.93,841.93,"163,894,200"
17,"May 04, 2023",838.40,839.21,825.04,829.44,829.44,"194,981,300"
18,"May 03, 2023",845.53,850.10,838.12,838.62,838.62,"178,189,900"
19,"May 02, 2023",848.49,848.49,832.62,841.85,841.85,"189,114,300"
20,"May 01, 2023",846.72,855.45,846.72,850.77,850.77,"174,726,300"
21,"Apr 28, 2023",837.63,847.46,837.63,846.11,846.11,"215,399,200"
22,"Apr 27, 2023",825.09,838.93,822.94,838.37,838.37,"253,850,900"
23,"Apr 26, 2023",831.84,834.42,820.49,822.05,822.05,"223,331,500"
24,"Apr 25, 2023",848.16,848.63,837.20,837.71,837.71,"195,642,600"
25,"Apr 24, 2023",852.28,856.29,850.18,853.37,853.37,"174,097,100"
26,"Apr 21, 2023",855.53,855.65,848.33,851.44,851.44,"186,256,500"
27,"Apr 20, 2023",851.15,856.70,850.69,853.51,853.51,"178,429,000"
28,"Apr 19, 2023",853.84,856.32,851.38,855.09,855.09,"174,370,400"
29,"Apr 18, 2023",855.37,860.69,852.74,855.69,855.69,"186,692,500"
30,"Apr 17, 2023",847.39,851.78,845.98,851.74,851.74,"159,982,900"
31,"Apr 14, 2023",843.35,849.40,840.06,845.07,845.07,"183,594,100"
32,"Apr 13, 2023",842.97,847.57,834.47,846.09,846.09,"236,216,100"
33,"Apr 12, 2023",843.95,847.86,840.74,842.91,842.91,"277,754,100"
34,"Apr 11, 2023",838.03,843.94,837.23,840.11,840.11,"166,118,300"
35,"Apr 10, 2023",825.46,835.20,824.89,835.19,835.19,"152,819,900"
36,"Apr 06, 2023",827.63,830.94,824.20,827.76,827.76,"169,062,700"
37,"Apr 05, 2023",835.83,838.02,825.42,827.97,827.97,"200,068,900"
38,"Apr 04, 2023",857.80,858.17,835.93,838.88,838.88,"172,600,000"
39,"Apr 03, 2023",854.39,861.34,852.04,858.21,858.21,"151,687,700"
40,"Mar 31, 2023",849.49,856.82,848.60,856.59,856.59,"167,807,400"
41,"Mar 30, 2023",847.75,849.32,842.70,845.47,845.47,"142,406,000"
42,"Mar 29, 2023",838.30,844.10,837.79,843.55,843.55,"150,882,000"
43,"Mar 28, 2023",827.60,834.80,827.33,831.74,831.74,"127,735,100"
44,"Mar 27, 2023",826.12,830.11,822.11,827.24,827.24,"151,589,900"
45,"Mar 24, 2023",812.23,820.94,806.33,820.48,820.48,"175,955,600"
46,"Mar 23, 2023",820.69,830.83,812.34,817.61,817.61,"187,277,300"
47,"Mar 22, 2023",835.32,839.24,819.40,819.46,819.46,"180,188,400"
48,"Mar 21, 2023",835.25,838.90,831.26,835.38,835.38,"171,557,100"
49,"Mar 20, 2023",819.06,827.72,819.00,826.06,826.06,"183,970,800"
50,"Mar 17, 2023",826.81,826.95,811.57,815.00,815.00,"349,914,600"
51,"Mar 16, 2023",813.39,831.11,811.52,828.48,828.48,"214,341,800"
52,"Mar 15, 2023",825.44,825.45,805.53,818.08,818.08,"269,844,500"
53,"Mar 14, 2023",841.26,847.34,829.30,839.14,839.14,"247,268,700"
54,"Mar 13, 2023",825.65,837.73,823.24,830.38,830.38,"226,727,400"
55,"Mar 10, 2023",850.18,853.59,832.41,835.48,835.48,"234,908,400"
56,"Mar 09, 2023",868.05,871.26,849.74,851.00,851.00,"191,314,300"
57,"Mar 08, 2023",862.69,865.62,857.66,863.67,863.67,"136,013,600"
58,"Mar 07, 2023",872.76,874.07,861.20,861.70,861.70,"176,527,900"
59,"Mar 06, 2023",874.28,878.66,871.69,872.77,872.77,"157,954,300"
60,"Mar 03, 2023",868.32,875.89,864.02,874.52,874.52,"157,519,100"
61,"Mar 02, 2023",851.31,866.91,850.96,865.34,865.34,"142,199,200"
62,"Mar 01, 2023",851.31,859.70,850.62,855.08,855.08,"147,491,800"
63,"Feb 28, 2023",852.77,857.18,851.20,851.88,851.88,"187,809,500"
64,"Feb 27, 2023",857.41,860.64,852.30,854.04,854.04,"156,716,200"
65,"Feb 24, 2023",843.46,848.25,839.76,846.99,846.99,"150,485,800"
66,"Feb 23, 2023",852.89,856.91,843.09,851.92,851.92,"175,482,300"
67,"Feb 22, 2023",851.55,855.32,845.23,848.54,848.54,"174,726,700"
68,"Feb 21, 2023",864.88,866.78,850.04,850.77,850.77,"176,923,700"
69,"Feb 17, 2023",865.02,871.14,861.39,870.74,870.74,"165,289,600"
70,"Feb 16, 2023",865.09,871.91,861.90,865.28,865.28,"141,957,100"
71,"Feb 15, 2023",864.71,874.97,863.28,874.82,874.82,"131,834,600"
72,"Feb 14, 2023",869.13,873.24,860.70,869.36,869.36,"150,740,500"
73,"Feb 13, 2023",865.00,872.27,864.55,871.83,871.83,"151,806,500"
74,"Feb 10, 2023",856.78,864.58,855.12,864.22,864.22,"142,151,600"
75,"Feb 09, 2023",870.07,871.75,855.62,857.89,857.89,"153,751,000"
76,"Feb 08, 2023",867.35,870.04,863.01,865.51,865.51,"151,809,600"
77,"Feb 07, 2023",865.91,872.85,856.84,870.62,870.62,"159,537,600"
78,"Feb 06, 2023",867.58,870.61,864.60,868.47,868.47,"148,537,000"
79,"Feb 03, 2023",870.06,877.28,868.17,870.28,870.28,"171,760,000"
80,"Feb 02, 2023",868.73,879.61,865.66,874.82,874.82,"251,057,500"
81,"Feb 01, 2023",858.62,873.98,854.76,868.10,868.10,"226,883,600"
82,"Jan 31, 2023",849.64,861.96,847.32,861.96,861.96,"210,391,500"
83,"Jan 30, 2023",852.12,858.53,846.78,847.44,847.44,"164,454,900"
84,"Jan 27, 2023",851.26,859.75,850.49,855.73,855.73,"172,059,400"
85,"Jan 26, 2023",851.60,852.89,842.04,852.73,852.73,"216,501,700"
86,"Jan 25, 2023",844.13,849.78,836.15,848.01,848.01,"203,026,000"
87,"Jan 24, 2023",845.36,854.63,838.51,852.53,852.53,"180,728,200"
88,"Jan 23, 2023",839.53,851.21,837.22,847.05,847.05,"181,949,800"
89,"Jan 20, 2023",828.07,837.94,824.09,837.89,837.89,"205,211,900"
90,"Jan 19, 2023",839.04,839.92,826.16,826.29,826.29,"210,992,700"
91,"Jan 18, 2023",862.20,864.37,843.34,843.87,843.87,"237,825,800"
92,"Jan 17, 2023",867.52,867.70,858.99,859.73,859.73,"205,586,300"
93,"Jan 13, 2023",859.89,867.77,858.95,867.03,867.03,"206,047,900"
94,"Jan 12, 2023",866.00,871.32,859.57,868.10,868.10,"262,315,900"
95,"Jan 11, 2023",859.15,863.29,855.32,863.19,863.19,"190,066,900"
96,"Jan 10, 2023",848.11,855.39,847.28,855.00,855.00,"166,397,800"
97,"Jan 09, 2023",855.14,863.78,849.34,850.41,850.41,"192,922,300"
98,"Jan 06, 2023",838.56,856.33,838.23,854.00,854.00,"185,585,000"
99,"Jan 05, 2023",836.34,836.97,829.17,831.60,831.60,"173,152,600"
100,"Jan 04, 2023",835.18,842.93,834.03,840.73,840.73,"221,395,600"
101,"Jan 03, 2023",834.40,837.44,825.53,833.12,833.12,"152,864,100"
102,"Dec 30, 2022",830.78,832.36,823.54,831.40,831.40,"114,709,100"
103,"Dec 29, 2022",828.55,836.96,827.88,834.70,834.70,"118,614,800"
104,"Dec 28, 2022",836.83,839.01,824.53,824.60,824.60,"125,317,700"
105,"Dec 27, 2022",834.29,839.50,831.58,835.58,835.58,"125,257,600"
106,"Dec 23, 2022",827.49,834.04,824.61,832.86,832.86,"99,053,100"
107,"Dec 22, 2022",833.78,833.78,815.55,828.14,828.14,"149,830,600"
108,"Dec 21, 2022",831.21,839.95,830.30,838.65,838.65,"164,108,900"
109,"Dec 20, 2022",821.44,828.45,819.85,823.45,823.45,"157,556,000"
110,"Dec 19, 2022",825.97,831.72,818.37,822.28,822.28,"156,100,900"
111,"Dec 16, 2022",823.42,828.40,818.72,826.54,826.54,"392,884,100"
112,"Dec 15, 2022",842.23,842.92,826.43,830.55,830.55,"225,214,500"
113,"Dec 14, 2022",854.50,862.43,847.15,851.42,851.42,"211,271,100"
114,"Dec 13, 2022",867.38,867.38,846.98,853.02,853.02,"249,136,600"
115,"Dec 12, 2022",837.49,850.05,836.78,849.99,849.99,"159,471,800"
116,"Dec 09, 2022",842.14,845.27,835.33,835.70,835.70,"141,426,300"
117,"Dec 08, 2022",842.04,847.57,839.57,842.55,842.55,"151,686,700"
118,"Dec 07, 2022",837.12,843.26,836.01,837.76,837.76,"168,678,100"
119,"Dec 06, 2022",850.18,850.68,832.37,838.91,838.91,"163,615,800"
120,"Dec 05, 2022",855.42,855.87,847.37,848.65,848.65,"175,365,400"
121,"Dec 02, 2022",849.48,866.09,849.48,863.37,863.37,"156,911,600"
122,"Dec 01, 2022",861.17,863.16,851.85,858.03,858.03,"156,978,000"
123,"Nov 30, 2022",844.10,858.08,834.89,858.06,858.06,"239,726,900"
124,"Nov 29, 2022",841.27,845.68,838.60,844.62,844.62,"134,934,600"
125,"Nov 28, 2022",848.89,851.73,836.79,839.42,839.42,"151,518,500"
126,"Nov 25, 2022",853.33,856.57,852.66,854.86,854.86,"65,003,800"
127,"Nov 23, 2022",849.28,854.73,848.94,851.70,851.70,"129,687,900"
128,"Nov 22, 2022",845.75,850.26,844.93,848.40,848.40,"146,742,600"
129,"Nov 21, 2022",837.62,844.48,836.82,842.06,842.06,"146,622,800"
130,"Nov 18, 2022",840.72,842.94,834.02,838.94,838.94,"164,523,900"
131,"Nov 17, 2022",825.05,833.34,819.76,833.02,833.02,"151,433,600"
132,"Nov 16, 2022",840.60,841.41,833.56,835.10,835.10,"163,968,800"
133,"Nov 15, 2022",843.18,845.98,834.47,841.64,841.64,"199,909,800"
134,"Nov 14, 2022",838.86,846.84,835.18,835.18,835.18,"182,161,000"
135,"Nov 11, 2022",842.37,846.56,837.69,840.90,840.90,"215,648,200"
136,"Nov 10, 2022",827.02,842.31,826.80,841.77,841.77,"239,140,700"
137,"Nov 09, 2022",814.50,819.65,806.90,807.60,807.60,"163,017,300"
138,"Nov 08, 2022",814.80,823.45,810.09,819.46,819.46,"181,987,600"
139,"Nov 07, 2022",807.32,813.65,802.82,812.48,812.48,"169,540,300"
140,"Nov 04, 2022",801.15,805.94,790.95,803.92,803.92,"196,783,000"
141,"Nov 03, 2022",776.96,798.21,774.89,791.34,791.34,"218,241,100"
142,"Nov 02, 2022",792.83,809.09,782.83,783.19,783.19,"239,370,500"
143,"Nov 01, 2022",803.25,804.34,792.49,797.24,797.24,"184,570,000"
144,"Oct 31, 2022",795.12,802.82,793.88,797.71,797.71,"209,912,600"
145,"Oct 28, 2022",783.76,800.91,781.97,800.42,800.42,"199,690,400"
146,"Oct 27, 2022",781.16,791.18,780.84,781.82,781.82,"212,098,500"
147,"Oct 26, 2022",775.31,783.93,770.23,772.98,772.98,"245,954,100"
148,"Oct 25, 2022",760.31,770.97,758.69,770.33,770.33,"213,368,900"
149,"Oct 24, 2022",754.45,762.90,753.58,760.09,760.09,"204,212,300"
150,"Oct 21, 2022",730.27,751.44,728.84,749.96,749.96,"246,551,000"
151,"Oct 20, 2022",742.76,746.94,729.21,730.61,730.61,"236,583,000"
152,"Oct 19, 2022",745.78,751.52,739.26,744.84,744.84,"240,757,000"
153,"Oct 18, 2022",747.54,752.09,739.97,750.01,750.01,"199,323,500"
154,"Oct 17, 2022",726.95,736.40,726.95,732.72,732.72,"204,474,600"
155,"Oct 14, 2022",737.56,739.15,715.56,716.63,716.63,"200,235,200"
156,"Oct 13, 2022",704.20,736.67,700.26,732.98,732.98,"252,359,300"
157,"Oct 12, 2022",722.00,725.57,717.07,717.22,717.22,"181,537,700"
158,"Oct 11, 2022",721.38,732.58,718.50,723.10,723.10,"249,912,600"
159,"Oct 10, 2022",727.22,730.22,717.17,723.01,723.01,"171,025,400"
